# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
3.141592653589793116e-01,9.181818181818181301e+01,4.515679876982907348e-02,4.813473372971600384e+00,1.433324810122160731e+00,4.789938242959296266e-02,1.786489585609075892e+00,5.829976784404744539e-01
3.316125578789225758e-01,9.136363636363635976e+01,4.492906521353601246e-02,5.121873048640440906e+00,1.518849739972267132e+00,4.772308747985863631e-02,1.940566715336439652e+00,6.284044035487985624e-01
3.490658503988658956e-01,9.090909090909090651e+01,4.470543394146932886e-02,5.431645188637157062e+00,1.605212971790020982e+00,4.755033905577509684e-02,2.096890344352103419e+00,6.740385133480901736e-01
3.665191429188092154e-01,9.045454545454545325e+01,4.448569418683640669e-02,5.744923791954339443e+00,1.692389932546880305e+00,4.738053903395017530e-02,2.255753130880737700e+00,7.200144010137614625e-01
3.839724354387524796e-01,9.000000000000000000e+01,4.426964799792021399e-02,6.062090343805317083e+00,1.780355706885865308e+00,4.721308929099159168e-02,2.417521419980677155e+00,7.664612715295143763e-01
4.014257279586957439e-01,8.954545454545454675e+01,4.405710968834205404e-02,6.382714107774180690e+00,1.869085037121556603e+00,4.704739170350720479e-02,2.582635685212111287e+00,8.135232981654595408e-01
4.188790204786390636e-01,8.909090909090909349e+01,4.384790444036576473e-02,6.706609937705396263e+00,1.958552323240097426e+00,4.688284814810472767e-02,2.751590584227557645e+00,8.613595549798819251e-01
4.363323129985823834e-01,8.863636363636364024e+01,4.364186744527806527e-02,7.033586967709522852e+00,2.048731578540888609e+00,4.671886050139198443e-02,2.924929957981974304e+00,9.101442123011396212e-01
4.537856055185257032e-01,8.818181818181817277e+01,4.343884341298340224e-02,7.363456499012969836e+00,2.139596489142236990e+00,4.655483063997676446e-02,3.103237168156951498e+00,9.600665492969777670e-01
4.712388980384689674e-01,8.772727272727271952e+01,4.323868527469310052e-02,7.696106921199364237e+00,2.231121317378464752e+00,4.639016461617423426e-02,3.287138093589258681e+00,1.011330208219073601e+00
4.886921905584122872e-01,8.727272727272726627e+01,4.304125395154212441e-02,8.031460243404543675e+00,2.323281138738765517e+00,4.622480638343461068e-02,3.476685622166937328e+00,1.063981800013575230e+00
5.061454830783556069e-01,8.681818181818181301e+01,4.284641770970843561e-02,8.369454339542624410e+00,2.416051841867201677e+00,4.605976261207796879e-02,3.670679806766915299e+00,1.117719698387539928e+00
5.235987755982988157e-01,8.636363636363635976e+01,4.265405124133767045e-02,8.710024400283760571e+00,2.509410099136375916e+00,4.589616462674245972e-02,3.867649221987038199e+00,1.172170914429916611e+00
5.410520681182421354e-01,8.590909090909090651e+01,4.246403558249834537e-02,9.052950796243003140e+00,2.603332042412480174e+00,4.573514375206619992e-02,4.065987182764179586e+00,1.226928923720539411e+00
5.585053606381854552e-01,8.545454545454545325e+01,4.227625757650928934e-02,9.397809182154546193e+00,2.697791444068565525e+00,4.557783131268730581e-02,4.263965390319556015e+00,1.281553877054304902e+00
5.759586531581287749e-01,8.500000000000000000e+01,4.209060912527821940e-02,9.744348354280480962e+00,2.792761728244186781e+00,4.542535863324394241e-02,4.459729870690483544e+00,1.335573276074370597e+00
5.934119456780720947e-01,8.454545454545454675e+01,4.190698713316853147e-02,1.009280838099422439e+01,2.888220185404712037e+00,4.527829875356095130e-02,4.652046241532273640e+00,1.388686943204243240e+00
6.108652381980153034e-01,8.409090909090909349e+01,4.172529323304002141e-02,1.044309561689158272e+01,2.984144106137057939e+00,4.513496042713533579e-02,4.842728608828476666e+00,1.441420873237605260e+00
6.283185307179586232e-01,8.363636363636364024e+01,4.154543307160504795e-02,1.079469568856595885e+01,3.080507138979860393e+00,4.499307844081339852e-02,5.034479188124696414e+00,1.494563734634087426e+00
6.457718232379019430e-01,8.318181818181817277e+01,4.136731619436418567e-02,1.114714322813998315e+01,3.177280766669976497e+00,4.485038758138576442e-02,5.229991433882395846e+00,1.548963974437546742e+00
6.632251157578451517e-01,8.272727272727271952e+01,4.119085599965707778e-02,1.150071609429091168e+01,3.274441081135377019e+00,4.470462263564307231e-02,5.432784395040218151e+00,1.605530605114966036e+00
6.806784082777884715e-01,8.227272727272726627e+01,4.101596921956034841e-02,1.185529997901510058e+01,3.371964592595225962e+00,4.455351839037597489e-02,5.647217424264608709e+00,1.665236121065535979e+00
6.981317007977317912e-01,8.181818181818181301e+01,4.084257559199643006e-02,1.221077230175718320e+01,3.469827169453198135e+00,4.439480963237502770e-02,5.877255910688746532e+00,1.729121570297298849e+00
7.155849933176750000e-01,8.136363636363635976e+01,4.067059785557532864e-02,1.256726482379089482e+01,3.568006204923739766e+00,4.422623114843094588e-02,6.126897073115507908e+00,1.798304177413538874e+00
7.330382858376184307e-01,8.090909090909090651e+01,4.049996164126280079e-02,1.292328710966107685e+01,3.666469256923604370e+00,4.404551772533431275e-02,6.400445639159121569e+00,1.873987052586314928e+00
7.504915783575616395e-01,8.045454545454545325e+01,4.033059498671916210e-02,1.327976023324287347e+01,3.765192797563937432e+00,4.385040414987573937e-02,6.702691417708364519e+00,1.957470831707987191e+00
7.679448708775049592e-01,8.000000000000000000e+01,4.016242820025803933e-02,1.363706011611009927e+01,3.864157157082702465e+00,4.363865010072871808e-02,7.038755182991555337e+00,2.050156019808516916e+00
7.853981633974482790e-01,7.954545454545454675e+01,3.999539386083934139e-02,1.399390525564430554e+01,3.963335662230992096e+00,4.341021886819889514e-02,7.410576247366316593e+00,2.152567385348431284e+00
8.028514559173914877e-01,7.909090909090909349e+01,3.982942671405360902e-02,1.434942096667383638e+01,4.062699264570941438e+00,4.316897580434139042e-02,7.813693548322433458e+00,2.263448328692531319e+00
8.203047484373349185e-01,7.863636363636364024e+01,3.966446327481076145e-02,1.470581072826917257e+01,4.162230758663334029e+00,4.291918601441424563e-02,8.242398568931054825e+00,2.381192382010791864e+00
8.377580409572781273e-01,7.818181818181817277e+01,3.950044173249064178e-02,1.506126410690797712e+01,4.261897037251323184e+00,4.266511460367548164e-02,8.690254728121942662e+00,2.503993655043466049e+00
8.552113334772214470e-01,7.772727272727271952e+01,3.933730195094303078e-02,1.541592689350508216e+01,4.361677583421219140e+00,4.241102667738317483e-02,9.149719113929874581e+00,2.629833044144870513e+00
8.726646259971647668e-01,7.727272727272726627e+01,3.917498541755395219e-02,1.576963660615050955e+01,4.461550606299408805e+00,4.216118734079535302e-02,9.611935900563437940e+00,2.756472866519045439e+00
8.901179185171079755e-01,7.681818181818181301e+01,3.901343492447310879e-02,1.612204821914572506e+01,4.561482645874004760e+00,4.191986169917002319e-02,1.006819065384532585e+01,2.881478225892963430e+00
9.075712110370514063e-01,7.636363636363635976e+01,3.885259444554548663e-02,1.647359149513898302e+01,4.661453254159715343e+00,4.169131485776524787e-02,1.050916931242194785e+01,3.002242372493417744e+00
9.250245035569946150e-01,7.590909090909090651e+01,3.869240913604832938e-02,1.682343710700345696e+01,4.761440224154989131e+00,4.147972639789908322e-02,1.092421460634662544e+01,3.116052616820542909e+00
9.424777960769379348e-01,7.545454545454545325e+01,3.853282532384367381e-02,1.717192275199738560e+01,4.861418803226650098e+00,4.128464590144775848e-02,1.131224237569194457e+01,3.222642215419443179e+00
9.599310885968812546e-01,7.500000000000000000e+01,3.837379030853547979e-02,1.751853580086596907e+01,4.961360521971763582e+00,4.109872082387536901e-02,1.168702816516672449e+01,3.325668960121828110e+00
9.773843811168245743e-01,7.454545454545454675e+01,3.821525216208751519e-02,1.786291457092120183e+01,5.061240043458535176e+00,4.091403583837361496e-02,1.206376763577607747e+01,3.429356203071506126e+00
9.948376736367677831e-01,7.409090909090909349e+01,3.805715972026802590e-02,1.820454289537752501e+01,5.161033105475470784e+00,4.072267561813421033e-02,1.245900989198510089e+01,3.538161541581295921e+00
1.012290966156711214e+00,7.363636363636364024e+01,3.789946258264972195e-02,1.854376375223785800e+01,5.260715293250932234e+00,4.051672483634879279e-02,1.288819320150925307e+01,3.656751204063009464e+00
1.029744258676654312e+00,7.318181818181817277e+01,3.774211105022146073e-02,1.888142394867913509e+01,5.360262116080600769e+00,4.028826816620913881e-02,1.336940751609595601e+01,3.790015143716825463e+00
1.047197551196597631e+00,7.272727272727271952e+01,3.758505588032864941e-02,1.921645688381184414e+01,5.459649061198203590e+00,4.002939028090691381e-02,1.392121849183329907e+01,3.943081417596449256e+00
