# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
8.028514559173914877e-01,7.899543378995433329e+01,4.306000159545766287e-02,9.106556246130894650e+00,3.774028976843016192e+00,4.311709284568653738e-02,9.029385535555615405e+00,3.736618952404157312e+00
8.203047484373349185e-01,7.853881278538811728e+01,4.293399001534099757e-02,9.278834240723899285e+00,3.856817304101885835e+00,4.286489317635176072e-02,9.374123385245024309e+00,3.902333916673927927e+00
8.377580409572781273e-01,7.808219178082191547e+01,4.280824509883859874e-02,9.452352775968019927e+00,3.939710469082472688e+00,4.260929642445125676e-02,9.728912472476048734e+00,4.071371952652651949e+00
8.552113334772214470e-01,7.762557077625569946e+01,4.268272756463117878e-02,9.626045730105891707e+00,4.022708791399677963e+00,4.235462637774163597e-02,1.008704374614376498e+01,4.240676312163725648e+00
8.726646259971647668e-01,7.716894977168949765e+01,4.255739848786428692e-02,9.801763506590512876e+00,4.105809076958490067e+00,4.210520682397948106e-02,1.044526437125996843e+01,4.407138964940314985e+00
8.901179185171079755e-01,7.671232876712328164e+01,4.243221922481110048e-02,9.977021308223525509e+00,4.189011837533044513e+00,4.186536155092141637e-02,1.079507608483688941e+01,4.567623141676984133e+00
9.075712110370514063e-01,7.625570776255707983e+01,4.230715137249158736e-02,1.015497693886913844e+01,4.272318198017729607e+00,4.163941434632401073e-02,1.112988557125162714e+01,4.719013678085033803e+00
9.250245035569946150e-01,7.579908675799086382e+01,4.218215668525227696e-02,1.033477725806379866e+01,4.355727086373148538e+00,4.143127213689007382e-02,1.144223672590793583e+01,4.858511016067157406e+00
9.424777960769379348e-01,7.534246575342464780e+01,4.205719704285455079e-02,1.051458085150112787e+01,4.439236523156851355e+00,4.123827909610967152e-02,1.173774532825052397e+01,4.987782747973541042e+00
9.599310885968812546e-01,7.488584474885844600e+01,4.193223436508217161e-02,1.069730976572938985e+01,4.522847169357660846e+00,4.105255566900679193e-02,1.202537007116598922e+01,5.112028155756984660e+00
9.773843811168245743e-01,7.442922374429222998e+01,4.180723057887945904e-02,1.088030313471595889e+01,4.606560091268543822e+00,4.086607762380452258e-02,1.231812249521449232e+01,5.236533509361708916e+00
9.948376736367677831e-01,7.397260273972602818e+01,4.168214753920568977e-02,1.106599710218435462e+01,4.690373771249309875e+00,4.067082072872611059e-02,1.262960467435155110e+01,5.366546950249829528e+00
