# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
5.934119456780720947e-01,8.454545454545454675e+01,4.227620400401146949e-02,6.079263242213679419e+00,2.594842619435526299e+00,4.527829875356095130e-02,3.090683205703212089e+00,1.374879471470880299e+00
6.108652381980153034e-01,8.409090909090909349e+01,4.211180949959905662e-02,6.282198837871218799e+00,2.674065836646724925e+00,4.513496042713533579e-02,3.205209035033146137e+00,1.423503334023593414e+00
6.283185307179586232e-01,8.363636363636364024e+01,4.194969358066279186e-02,6.487266883259065864e+00,2.753417416187682765e+00,4.499307844081339852e-02,3.321058201235132401e+00,1.472542622552752700e+00
6.457718232379019430e-01,8.318181818181817277e+01,4.178974582939622845e-02,6.693672169385428639e+00,2.832884982129605156e+00,4.485038758138576442e-02,3.440108572758899363e+00,1.522783528927685204e+00
6.632251157578451517e-01,8.272727272727271952e+01,4.163186148464551040e-02,6.901331720933850278e+00,2.912455312209764724e+00,4.470462263564307231e-02,3.564410058802494508e+00,1.575072013348766120e+00
6.806784082777884715e-01,8.227272727272726627e+01,4.147594123182328507e-02,7.110967022374469870e+00,2.992115164994189058e+00,4.455351839037597489e-02,3.696194880916340519e+00,1.630314974753725998e+00
6.981317007977317912e-01,8.181818181818181301e+01,4.132189040166317495e-02,7.322127686011544512e+00,3.071851431539517563e+00,4.439480963237502770e-02,3.837898615301897021e+00,1.689486448221934056e+00
7.155849933176750000e-01,8.136363636363635976e+01,4.116961877921521823e-02,7.534510557586035162e+00,3.151651185637001973e+00,4.422623114843094588e-02,3.992193534675626321e+00,1.753636310616591976e+00
7.330382858376184307e-01,8.090909090909090651e+01,4.101904050842496846e-02,7.748412247799733699e+00,3.231501774895148671e+00,4.404551772533431275e-02,4.162006671234164124e+00,1.823901046579872620e+00
7.504915783575616395e-01,8.045454545454545325e+01,4.087007346286673781e-02,7.964379734761990015e+00,3.311391010578848437e+00,4.385040414987573937e-02,4.350522112505657013e+00,1.901516282912876665e+00
7.679448708775049592e-01,8.000000000000000000e+01,4.072263899090541178e-02,8.182119242279595639e+00,3.391307316825677987e+00,4.363865010072871808e-02,4.561232491512785536e+00,1.987821139658947578e+00
7.853981633974482790e-01,7.954545454545454675e+01,4.057666190587025379e-02,8.401539449371030699e+00,3.471239558001466108e+00,4.341021886819889514e-02,4.795833382641059295e+00,2.083350015586953763e+00
8.028514559173914877e-01,7.909090909090909349e+01,4.043207015095670598e-02,8.622397575033996731e+00,3.551173812847667310e+00,4.316897580434139042e-02,5.052130434353244048e+00,2.186978157031414849e+00
8.203047484373349185e-01,7.863636363636364024e+01,4.028879437451159812e-02,8.844514832448332697e+00,3.631094451235310938e+00,4.291918601441424563e-02,5.326980950216627875e+00,2.297244139277258679e+00
8.377580409572781273e-01,7.818181818181817277e+01,4.014676790268946471e-02,9.068675329058780932e+00,3.710992312958513839e+00,4.266511460367548164e-02,5.616556544708450893e+00,2.412483768997430111e+00
8.552113334772214470e-01,7.772727272727271952e+01,4.000592669694017639e-02,9.294906335032262490e+00,3.790856331200489926e+00,4.241102667738317483e-02,5.916241401973277192e+00,2.530814650425633250e+00
8.726646259971647668e-01,7.727272727272726627e+01,3.986620896336674769e-02,9.522568055410864929e+00,3.870668826485679226e+00,4.216118734079535302e-02,6.220719843624691769e+00,2.650137943877810542e+00
8.901179185171079755e-01,7.681818181818181301e+01,3.972755494249437247e-02,9.752207081204405270e+00,3.950418986251284625e+00,4.191986169917002319e-02,6.525475039663638732e+00,2.768150763467079223e+00
9.075712110370514063e-01,7.636363636363635976e+01,3.958990690724253220e-02,9.983957871912815918e+00,4.030096827992442954e+00,4.169131485776524787e-02,6.822620871795880504e+00,2.882361829930303987e+00
9.250245035569946150e-01,7.590909090909090651e+01,3.945320911563793276e-02,1.021734392778735412e+01,4.109687984167146091e+00,4.147972639789908322e-02,7.105826656781495387e+00,2.990168785904276039e+00
9.424777960769379348e-01,7.545454545454545325e+01,3.931740747741629266e-02,1.045240590002124748e+01,4.189178240499988881e+00,4.128464590144775848e-02,7.373736352644118419e+00,3.091280362904144763e+00
9.599310885968812546e-01,7.500000000000000000e+01,3.918244941066141573e-02,1.068964880934707473e+01,4.268556817745050580e+00,4.109872082387536901e-02,7.634699683229491995e+00,3.189133166950731901e+00
9.773843811168245743e-01,7.454545454545454675e+01,3.904828384124926083e-02,1.092914195649851905e+01,4.347812902717071992e+00,4.091403583837361496e-02,7.900205183385064167e+00,3.287723658879451172e+00
9.948376736367677831e-01,7.409090909090909349e+01,3.891486118152921725e-02,1.117043376413868927e+01,4.426931996314483975e+00,4.072267561813421033e-02,8.182064663115673042e+00,3.391287360427281516e+00
1.012290966156711214e+00,7.363636363636364024e+01,3.878213308297760037e-02,1.141357897168164293e+01,4.505899732788179790e+00,4.051672483634879279e-02,8.492690493822811604e+00,3.504284476532114834e+00
1.029744258676654312e+00,7.318181818181817277e+01,3.865005227684881889e-02,1.165900828877500572e+01,4.584704344852054803e+00,4.028826816620913881e-02,8.845337620202048612e+00,3.631389250786338341e+00
1.047197551196597631e+00,7.272727272727271952e+01,3.851857257152987990e-02,1.190703201288727620e+01,4.663335582441236582e+00,4.002939028090691381e-02,9.256982418148570702e+00,3.777509171221527851e+00
1.064650843716540951e+00,7.227272727272726627e+01,3.838764885061180659e-02,1.215747423308971342e+01,4.741781434071572932e+00,3.973217585363381793e-02,9.744490629269128235e+00,3.947752726170131066e+00
1.082104136236484271e+00,7.181818181818181301e+01,3.825723694298406585e-02,1.240991394363576994e+01,4.820026755595971046e+00,3.939095168534852837e-02,1.032468224385494260e+01,4.146079811417544114e+00
1.099557428756427591e+00,7.136363636363635976e+01,3.812729341286629631e-02,1.266461896235564843e+01,4.898057743951243381e+00,3.901370569657572340e-02,1.099138664396530807e+01,4.368290272330421331e+00
1.117010721276370910e+00,7.090909090909090651e+01,3.799777554070076641e-02,1.292201108287644296e+01,4.975862681350974981e+00,3.861357067596993958e-02,1.172745597553526586e+01,4.606505094588261073e+00
1.134464013796314230e+00,7.045454545454545325e+01,3.786864132315233972e-02,1.318224067536339739e+01,5.053430110148783072e+00,3.820368878449507261e-02,1.251446655679336573e+01,4.852176442995998151e+00
1.151917306316257550e+00,7.000000000000000000e+01,3.773984944594160201e-02,1.344543768234965242e+01,5.130748648175996074e+00,3.779720218311492103e-02,1.332777494685949904e+01,5.096325326710213766e+00
1.169370598836200648e+00,6.954545454545454675e+01,3.761135908588929960e-02,1.371159880123892805e+01,5.207806198750207116e+00,3.740725303279332503e-02,1.414083406660667386e+01,5.329949399903592955e+00
1.186823891356144189e+00,6.909090909090909349e+01,3.748312982328554088e-02,1.398029385010277714e+01,5.284587668381622194e+00,3.704608665053916311e-02,1.492308942903534152e+01,5.544875452886624423e+00
1.204277183876087287e+00,6.863636363636364024e+01,3.735512164149935171e-02,1.425186161770066917e+01,5.361079303817783526e+00,3.671218446792901685e-02,1.567439069223988035e+01,5.741608412964128938e+00
1.221730476396030607e+00,6.818181818181817277e+01,3.722729492671661422e-02,1.452676253485647706e+01,5.437269147336549757e+00,3.639325347556213175e-02,1.641619441490825437e+01,5.927138578645531730e+00
1.239183768915973927e+00,6.772727272727271952e+01,3.709961039143024053e-02,1.480521888067657343e+01,5.513145611063396068e+00,3.607671296982619541e-02,1.718260509411066650e+01,6.108436824122324360e+00
1.256637061435917246e+00,6.727272727272726627e+01,3.697202889207806820e-02,1.508732164050321600e+01,5.588696738272361131e+00,3.574998224710876360e-02,1.800400002781652731e+01,6.292075672972474720e+00
1.274090353955860566e+00,6.681818181818181301e+01,3.684451140245376122e-02,1.537334843637477277e+01,5.663911129108915254e+00,3.540048060379742678e-02,1.891960361155303971e+01,6.483986721353186766e+00
1.291543646475803886e+00,6.636363636363635976e+01,3.671701901370682392e-02,1.566333151947224778e+01,5.738776602798215443e+00,3.501562733627980317e-02,1.999634498007502259e+01,6.689279465489161858e+00
1.308996938995747206e+00,6.590909090909090651e+01,3.658951292884489448e-02,1.595649337987722305e+01,5.813276730243202906e+00,3.458497363326996227e-02,2.137687549601331938e+01,6.911458262271910513e+00
1.326450231515690303e+00,6.545454545454545325e+01,3.646195433114653162e-02,1.625382722151291048e+01,5.887398817948151120e+00,3.411023356569256593e-02,2.305938092261039074e+01,7.147625792067431760e+00
1.343903524035633845e+00,6.500000000000000000e+01,3.633430424965366362e-02,1.655670858214646302e+01,5.961131308674646689e+00,3.359742799653732404e-02,2.505533584536406977e+01,7.392961387090283942e+00
1.361356816555576943e+00,6.454545454545454675e+01,3.620652355308971032e-02,1.686469702616173549e+01,6.034462381934443620e+00,3.305258281031706741e-02,2.738674998978909514e+01,7.643090622515239296e+00
1.378810109075520263e+00,6.409090909090909349e+01,3.607857294985957614e-02,1.717801334116062506e+01,6.107380752448195338e+00,3.248239366699691433e-02,2.997662360712306651e+01,7.893816420116397836e+00
