# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.745329251994329478e-01,9.543378995433789669e+01,4.722109191122914745e-02,2.835574304890484232e+00,8.655233243967873635e-01,4.934469085119310566e-02,8.292189827231084553e-01,2.636256256559125766e-01
1.919862177193762398e-01,9.497716894977168067e+01,4.693966401646246928e-02,3.114406716474642955e+00,9.478861073679392124e-01,4.917285843162488151e-02,9.822669497435663200e-01,3.111172958869506955e-01
2.094395102393195596e-01,9.452054794520547887e+01,4.665858611824712926e-02,3.395928928147608161e+00,1.030809613077039888e+00,4.899445491745319653e-02,1.143134693170636096e+00,3.606470185904253611e-01
2.268928027592628516e-01,9.406392694063926285e+01,4.637796480431817525e-02,3.679981752514464244e+00,1.114282231665338685e+00,4.881124536063491393e-02,1.310552928317161747e+00,4.117440492956915832e-01
2.443460952792061436e-01,9.360730593607306105e+01,4.609790543962702380e-02,3.966982793246736971e+00,1.198291919052385746e+00,4.862499481312694549e-02,1.483082051702566906e+00,4.639308685990505832e-01
2.617993877991494078e-01,9.315068493150684503e+01,4.581851120529656374e-02,4.256393176971427827e+00,1.282826467461524178e+00,4.843746832688614751e-02,1.659124164082443675e+00,5.167232391209335418e-01
2.792526803190927276e-01,9.269406392694062902e+01,4.553988343992122073e-02,4.547932429299295976e+00,1.367873526341029544e+00,4.825043095386937625e-02,1.837387751418316340e+00,5.696294101825402079e-01
2.967059728390360474e-01,9.223744292237442721e+01,4.526212329885020286e-02,4.842072222739347787e+00,1.453420602364107417e+00,4.806564774603350881e-02,2.015690155412265483e+00,6.221495000500247841e-01
3.141592653589793116e-01,9.178082191780821120e+01,4.498533225770980082e-02,5.138113718232585114e+00,1.539455059428895378e+00,4.788475030534902754e-02,2.190931758658702488e+00,6.738128555059597069e-01
3.316125578789226314e-01,9.132420091324200939e+01,4.470961211251733847e-02,5.435679418710864574e+00,1.625964120539318936e+00,4.770797476300282780e-02,2.361837632912551665e+00,7.245406727847180095e-01
3.490658503988658956e-01,9.086757990867579338e+01,4.443506497968113811e-02,5.735406791625654144e+00,1.712934936467825464e+00,4.753472583284749919e-02,2.529159307744911267e+00,7.744921108087037265e-01
3.665191429188092154e-01,9.041095890410957736e+01,4.416179329600056214e-02,6.036773598961514331e+00,1.800354832193468146e+00,4.736439716206318484e-02,2.694910861693505133e+00,8.238319228687667195e-01
3.839724354387524796e-01,8.995433789954337556e+01,4.388989981866597834e-02,6.339133380227536030e+00,1.888211368041213811e+00,4.719638239783003480e-02,2.859924468619289506e+00,8.727287722497324429e-01
4.014257279586957994e-01,8.949771689497715954e+01,4.361948748843815643e-02,6.643094827197333352e+00,1.976492339681941823e+00,4.703007518732817138e-02,3.024480577845339635e+00,9.213549694492376707e-01
4.188790204786391191e-01,8.904109589041095774e+01,4.335065897738400037e-02,6.948462513466759027e+00,2.065185778132444305e+00,4.686486917773775157e-02,3.189035538191175245e+00,9.698864201896245651e-01
4.363323129985823834e-01,8.858447488584474172e+01,4.308351693212868899e-02,7.254562055828372102e+00,2.154279949755427914e+00,4.670015801623894625e-02,3.354110166796600012e+00,1.018502446652445048e+00
4.537856055185257032e-01,8.812785388127853992e+01,4.281816406887387072e-02,7.561460072795315845e+00,2.243763350706348803e+00,4.653533535001187771e-02,3.520285069786573295e+00,1.067385847268302879e+00
4.712388980384689674e-01,8.767123287671232390e+01,4.255470317339766356e-02,7.869715024821744898e+00,2.333624340897071381e+00,4.636980908165701937e-02,3.688289195202588022e+00,1.116718653927354588e+00
4.886921905584122872e-01,8.721461187214610788e+01,4.229323710095053007e-02,8.178127182110941362e+00,2.423850556900584152e+00,4.620367390920396972e-02,3.858192241749013984e+00,1.166480290408614673e+00
5.061454830783556069e-01,8.675799086757990608e+01,4.203386846715052166e-02,8.486512444569095592e+00,2.514428859488083923e+00,4.603800204354138031e-02,4.028791853419630975e+00,1.216354772286887709e+00
