# Index,Max Radius (cm),Peak Force Stance %,Peak Force (N),Sitting Force (N),Total Error
45.00,6.30,58.45,62.47,7.63,63.67
46.00,3.68,47.03,52.61,21.62,76.08
47.00,6.03,54.34,56.72,10.33,68.00
48.00,3.93,54.34,61.10,15.82,69.09
49.00,6.07,56.62,55.66,6.39,67.42
50.00,5.70,44.75,50.72,11.66,65.75
51.00,5.87,58.45,74.66,9.13,52.97
52.00,3.85,49.77,54.21,16.25,71.85
53.00,4.64,45.21,72.90,22.44,54.79
54.00,4.71,47.95,57.65,16.83,67.17
55.00,5.06,39.73,67.49,21.79,54.63
56.00,4.20,56.16,81.60,18.46,53.06
57.00,5.21,43.84,78.57,20.89,46.21
58.00,6.25,56.16,61.20,7.29,62.31
59.00,5.56,58.45,66.98,8.25,59.77
60.00,4.03,63.01,84.92,15.59,53.73
