# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
6.457718232379019430e-01,8.318181818181817277e+01,2.830318595257219974e-02,2.822540447117569684e+01,3.666977214332795665e+00,4.485038758138576442e-02,7.156858660405633898e+00,8.731598688474758729e-01
6.632251157578451517e-01,8.272727272727271952e+01,2.786027675028969822e-02,2.881114523838382624e+01,3.762647027738600602e+00,4.470462263564307231e-02,7.333244407115537378e+00,8.943988542163330280e-01
6.806784082777884715e-01,8.227272727272726627e+01,2.742843941317375800e-02,2.938275280817626367e+01,3.858177271910224970e+00,4.455351839037597489e-02,7.516356556444002912e+00,9.164492970224376034e-01
6.981317007977317912e-01,8.181818181818181301e+01,2.700790892001525556e-02,2.994120799338005412e+01,3.953562596313854094e+00,4.439480963237502770e-02,7.708968698530109798e+00,9.396466861926096037e-01
7.155849933176750000e-01,8.136363636363635976e+01,2.659893808575101298e-02,3.048627620399595983e+01,4.048797441097605088e+00,4.422623114843094588e-02,7.913870669717317341e+00,9.643290639914182671e-01
7.330382858376184307e-01,8.090909090909090651e+01,2.620178304840860631e-02,3.101606724467528764e+01,4.143871079446339145e+00,4.404551772533431275e-02,8.133869180884653716e+00,9.908374439684027868e-01
7.504915783575616395e-01,8.045454545454545325e+01,2.581669728846950479e-02,3.153128181524183660e+01,4.238775696367056867e+00,4.385040414987573937e-02,8.371788070383606950e+00,1.019516355786900919e+00
7.679448708775049592e-01,8.000000000000000000e+01,2.544392312126307967e-02,3.203226936384470491e+01,4.333505187731618413e+00,4.363865010072871808e-02,8.630438571493042943e+00,1.050710816592890451e+00
7.853981633974482790e-01,7.954545454545454675e+01,2.508367737181580945e-02,3.251931125705662851e+01,4.428054270379402801e+00,4.341021886819889514e-02,8.909950747224705481e+00,1.084444922823249557e+00
8.028514559173914877e-01,7.909090909090909349e+01,2.473615138680665751e-02,3.299834175512032886e+01,4.522420872845392736e+00,4.316897580434139042e-02,9.205664716134013048e+00,1.120166424021890483e+00
8.203047484373349185e-01,7.863636363636364024e+01,2.440161767134535822e-02,3.347891523156376792e+01,4.616608892205425363e+00,4.291918601441424563e-02,9.512389957729922685e+00,1.157259069116022276e+00
8.377580409572781273e-01,7.818181818181817277e+01,2.408038670575525855e-02,3.396299637714002273e+01,4.710625330631312835e+00,4.266511460367548164e-02,9.824893320445349687e+00,1.195100330666193367e+00
8.552113334772214470e-01,7.772727272727271952e+01,2.377250717120270307e-02,3.445033303838231120e+01,4.804478059406315893e+00,4.241102667738317483e-02,1.013790367549889737e+01,1.233060636148663569e+00
8.726646259971647668e-01,7.727272727272726627e+01,2.347712243524235562e-02,3.494613782658092305e+01,4.898174942586909886e+00,4.216118734079535302e-02,1.044611685902262010e+01,1.270502650565896730e+00
8.901179185171079755e-01,7.681818181818181301e+01,2.319318280065962162e-02,3.544755515626478370e+01,4.991723785545584491e+00,4.191986169917002319e-02,1.074422408801498285e+01,1.306781049263390226e+00
9.075712110370514063e-01,7.636363636363635976e+01,2.291975401914566474e-02,3.595324464174786527e+01,5.085132258825641571e+00,4.169131485776524787e-02,1.102691506472389449e+01,1.341242563743962224e+00
9.250245035569946150e-01,7.590909090909090651e+01,2.265600818652206694e-02,3.646973951781011181e+01,5.178407201979210228e+00,4.147972639789908322e-02,1.128896212073361838e+01,1.373239322091407644e+00
9.424777960769379348e-01,7.545454545454545325e+01,2.240120799330178047e-02,3.698964208179815216e+01,5.271554387740554404e+00,4.128464590144775848e-02,1.153086035552868971e+01,1.402820037707924961e+00
9.599310885968812546e-01,7.500000000000000000e+01,2.215469388243055532e-02,3.752031657799680886e+01,5.364581324546707108e+00,4.109872082387536901e-02,1.176168354620079448e+01,1.431085636958088436e+00
9.773843811168245743e-01,7.454545454545454675e+01,2.191587345487736038e-02,3.805994393579774737e+01,5.457495786541536553e+00,4.091403583837361496e-02,1.199124938141037688e+01,1.459234710424020420e+00
9.948376736367677831e-01,7.409090909090909349e+01,2.168421256848061113e-02,3.860645716646574499e+01,5.550305326281571361e+00,4.072267561813421033e-02,1.222942330822009893e+01,1.488478314866264585e+00
1.012290966156711214e+00,7.363636363636364024e+01,2.145922791489706175e-02,3.916584945293593023e+01,5.643017526808824513e+00,4.051672483634879279e-02,1.248612595526932445e+01,1.520041040364465301e+00
1.029744258676654312e+00,7.318181818181817277e+01,2.124048070620623840e-02,3.973648002003969992e+01,5.735639905202798872e+00,4.028826816620913881e-02,1.277134970807902015e+01,1.555163531344930572e+00
1.047197551196597631e+00,7.272727272727271952e+01,2.102757131320527953e-02,4.031742626711690036e+01,5.828179963551987086e+00,4.002939028090691381e-02,1.309516064425007897e+01,1.595106799790469321e+00
1.064650843716540951e+00,7.227272727272726627e+01,2.082013469600019206e-02,4.090985475589874909e+01,5.920645143426203738e+00,3.973217585363381793e-02,1.346769126640876379e+01,1.641158544353615412e+00
1.082104136236484271e+00,7.181818181818181301e+01,2.061783647541892694e-02,4.151470620907810627e+01,6.013042375523983907e+00,3.939095168534852837e-02,1.389634712286540363e+01,1.694291725558984663e+00
1.099557428756427591e+00,7.136363636363635976e+01,2.042036954341130972e-02,4.213258899154940451e+01,6.105377857322374702e+00,3.901370569657572340e-02,1.437139193423012529e+01,1.753371326641624206e+00
1.117010721276370910e+00,7.090909090909090651e+01,2.022745112698239728e-02,4.276483235931043225e+01,6.197659000526639872e+00,3.861357067596993958e-02,1.487649265358608375e+01,1.816436857411333650e+00
1.134464013796314230e+00,7.045454545454545325e+01,2.003882023455453090e-02,4.341220663799197155e+01,6.289893309150492051e+00,3.820368878449507261e-02,1.539514458636644356e+01,1.881483676342128986e+00
1.151917306316257550e+00,7.000000000000000000e+01,1.985423542673282055e-02,4.407541097187490919e+01,6.382088197207505864e+00,3.779720218311492103e-02,1.591068443410610556e+01,1.946454329366135383e+00
1.169370598836200648e+00,6.954545454545454675e+01,1.967347286510280277e-02,4.475523343155196443e+01,6.474251085284318918e+00,3.740725303279332503e-02,1.640630115128959332e+01,2.009231963358550921e+00
1.186823891356144189e+00,6.909090909090909349e+01,1.949632460219543825e-02,4.545247958021300860e+01,6.566389365331878558e+00,3.704608665053916311e-02,1.686620586080775297e+01,2.067784465530230875e+00
1.204277183876087287e+00,6.863636363636364024e+01,1.932259706291819187e-02,4.616796832440962106e+01,6.658510415191821963e+00,3.671218446792901685e-02,1.729213138650289849e+01,2.122280050749561831e+00
1.221730476396030607e+00,6.818181818181817277e+01,1.915210968838216080e-02,4.690250143879795530e+01,6.750621596205188979e+00,3.639325347556213175e-02,1.769963960792019364e+01,2.174670375813889667e+00
1.239183768915973927e+00,6.772727272727271952e+01,1.898469375572264806e-02,4.765686627531550101e+01,6.842730256000059796e+00,3.607671296982619541e-02,1.810477880963602004e+01,2.227007259734498312e+00
1.256637061435917246e+00,6.727272727272726627e+01,1.882019134540210969e-02,4.843186525026455769e+01,6.934843729621137598e+00,3.574998224710876360e-02,1.852369976852633826e+01,2.281396755180693958e+00
1.274090353955860566e+00,6.681818181818181301e+01,1.865845436148261260e-02,4.922837447665501998e+01,7.026969341026509497e+00,3.540048060379742678e-02,1.897263979525705935e+01,2.340005758385700574e+00
1.291543646475803886e+00,6.636363636363635976e+01,1.849934368222194356e-02,5.004742143160188306e+01,7.119114404383186212e+00,3.501562733627980317e-02,1.946791807469235280e+01,2.405076005836976893e+00
1.308996938995747206e+00,6.590909090909090651e+01,1.834272845251347372e-02,5.089026765888677772e+01,7.211286225325154398e+00,3.458497363326996227e-02,2.002314559983141962e+01,2.478581176605074710e+00
1.326450231515690303e+00,6.545454545454545325e+01,1.818848533599408748e-02,5.175950204928880538e+01,7.303492102136312170e+00,3.411023356569256593e-02,2.063623707711937882e+01,2.560499543264058708e+00
1.343903524035633845e+00,6.500000000000000000e+01,1.803649794054012698e-02,5.265624509764543149e+01,7.395739326874280373e+00,3.359742799653732404e-02,2.129970293349132504e+01,2.650095366883138848e+00
1.361356816555576943e+00,6.454545454545454675e+01,1.788665626582053997e-02,5.358051688360144027e+01,7.488035186436540869e+00,3.305258281031706741e-02,2.200633725903479387e+01,2.746637593458471471e+00
1.378810109075520263e+00,6.409090909090909349e+01,1.773885615649634789e-02,5.453342860779083168e+01,7.580386963573753079e+00,3.248239366699691433e-02,2.274736893308605090e+01,2.849271717455455377e+00
1.396263401595463582e+00,6.363636363636363313e+01,1.759299891906668939e-02,5.551637320691431654e+01,7.672801937853787280e+00,3.189781596857130253e-02,2.350808602385625079e+01,2.956333392038688057e+00
1.413716694115406902e+00,6.318181818181817988e+01,1.744899081523278855e-02,5.653100371887431663e+01,7.765287386579963425e+00,3.131147414406272589e-02,2.427353090389711099e+01,3.065747831979029669e+00
1.431169986635350000e+00,6.272727272727272663e+01,1.730674278445522296e-02,5.757919027035043769e+01,7.857850585666543708e+00,3.073599652736139914e-02,2.502678435866607742e+01,3.175267320712515051e+00
1.448623279155293542e+00,6.227272727272727337e+01,1.716616999402375415e-02,5.866282028639798085e+01,7.950498810474263323e+00,3.018401145235751620e-02,2.574986927855654528e+01,3.282510230732357925e+00
1.466076571675236861e+00,6.181818181818181301e+01,1.702719162963956326e-02,5.978470362679887273e+01,8.043239336608271728e+00,2.966814725294122587e-02,2.642658476537118517e+01,3.384839737164022644e+00
1.483529864195180181e+00,6.136363636363635976e+01,1.688973050003604245e-02,6.092130880471103893e+01,8.136079440680576980e+00,2.920102396969182293e-02,2.704116614675595187e+01,3.479430871349541210e+00
1.500983156715123279e+00,6.090909090909090651e+01,1.675371287445612950e-02,6.205689270178843486e+01,8.229026401038701977e+00,2.878810714751024735e-02,2.758525991992295090e+01,3.564681631479705626e+00
1.518436449235066599e+00,6.045454545454545325e+01,1.661906814307381047e-02,6.319005624230894114e+01,8.322087498461909760e+00,2.841464230789630951e-02,2.807814563907988159e+01,3.643246045480291961e+00
1.535889741755009918e+00,6.000000000000000000e+01,1.648572867153145702e-02,6.431980288102816701e+01,8.415270016826024602e+00,2.806232807456002926e-02,2.854386214221255713e+01,3.718725987838106928e+00
