# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
3.490658503988658956e-01,9.086757990867579338e+01,4.459169737371452419e-02,3.191610708890163739e+00,1.393962842276620373e+00,4.753472583284749919e-02,1.394087020820701239e+00,6.378156825093549420e-01
3.665191429188092154e-01,9.041095890410957736e+01,4.435265025527449639e-02,3.365753767703675070e+00,1.461277748234381502e+00,4.736439716206318484e-02,1.479540206925594736e+00,6.787837177241425879e-01
3.839724354387524796e-01,8.995433789954337556e+01,4.411687966163164304e-02,3.543001627187584823e+00,1.528833899271981656e+00,4.719638239783003480e-02,1.564951317275331766e+00,7.194582834508445046e-01
4.014257279586957439e-01,8.949771689497715954e+01,4.388441910242670690e-02,3.723676357905417955e+00,1.596653471524118295e+00,4.703007518732817138e-02,1.655271470461775252e+00,7.599879255892646457e-01
4.188790204786390636e-01,8.904109589041095774e+01,4.365530192165940210e-02,3.907365552491462779e+00,1.664759130482605265e+00,4.686486917773775157e-02,1.749358244109397331e+00,8.005252637315768416e-01
4.363323129985823834e-01,8.858447488584474172e+01,4.342956111416895054e-02,4.094935422871416542e+00,1.733174033444610407e+00,4.670015801623894625e-02,1.843614568516722674e+00,8.412272502044949585e-01
4.537856055185257032e-01,8.812785388127853992e+01,4.320722880247671732e-02,4.285998059828123985e+00,1.801921967293620197e+00,4.653533535001187771e-02,1.938979376595207693e+00,8.822557292284073371e-01
4.712388980384689674e-01,8.767123287671232390e+01,4.298833608129052491e-02,4.481020043143738363e+00,1.871027556978352102e+00,4.636980908165701937e-02,2.036431709418239144e+00,9.237740928996457379e-01
4.886921905584122872e-01,8.721461187214610788e+01,4.277291247492234771e-02,4.680376141822304881e+00,1.940516282865376807e+00,4.620367390920396972e-02,2.135612908915665908e+00,9.657769104652984549e-01
5.061454830783556069e-01,8.675799086757990608e+01,4.256098603649349083e-02,4.883534673704269302e+00,2.010414480739117771e+00,4.603800204354138031e-02,2.236065834864499280e+00,1.008008671428489711e+00
5.235987755982988157e-01,8.630136986301369006e+01,4.235258805588034553e-02,5.091370641025684485e+00,2.080749341801853447e+00,4.587394037491530907e-02,2.337246688425150598e+00,1.050185964893030066e+00
5.410520681182421354e-01,8.584474885844748826e+01,4.214775350305684232e-02,5.303712145358539409e+00,2.151548650801164531e+00,4.571263579357191104e-02,2.438224985033361492e+00,1.092015266692248909e+00
5.585053606381854552e-01,8.538812785388127224e+01,4.194649473578148519e-02,5.520689937955226334e+00,2.222837531694625390e+00,4.555523518975727881e-02,2.538326286066441728e+00,1.133192181240368912e+00
5.759586531581287749e-01,8.493150684931507044e+01,4.174877757091960406e-02,5.743241589021684135e+00,2.294636243824993649e+00,4.540288368951509584e-02,2.636922163546726594e+00,1.173401295035800596e+00
5.934119456780720947e-01,8.447488584474885442e+01,4.155447518537433438e-02,5.970455823808634932e+00,2.366960140208547614e+00,4.525587110131407825e-02,2.733679696254829761e+00,1.212544224131125725e+00
6.108652381980153034e-01,8.401826484018263841e+01,4.136339214197373715e-02,6.203474350563725537e+00,2.439819667535089387e+00,4.511225922639045677e-02,2.829718260316602674e+00,1.251119891953629271e+00
6.283185307179586232e-01,8.356164383561643660e+01,4.117535783067865357e-02,6.442208018073343645e+00,2.513220663295236967e+00,4.496975168504232373e-02,2.926499767473019542e+00,1.289742286984580932e+00
6.457718232379019430e-01,8.310502283105022059e+01,4.099022758487368828e-02,6.686588991089331913e+00,2.587167713047327400e+00,4.482605209756788944e-02,3.025753029441414554e+00,1.329047747075825514e+00
6.632251157578451517e-01,8.264840182648401878e+01,4.080786040453451141e-02,6.936959371416607567e+00,2.661666271283075424e+00,4.467886408426530870e-02,3.129353625904676139e+00,1.369697151734861507e+00
6.806784082777884715e-01,8.219178082191780277e+01,4.062811934394397473e-02,7.193005897434466611e+00,2.736722694793952027e+00,4.452589126543275017e-02,3.239039269548710465e+00,1.412379669636466328e+00
6.981317007977317912e-01,8.173515981735158675e+01,4.045087591650681907e-02,7.455517763418384014e+00,2.812344004568498868e+00,4.436483726136833394e-02,3.356747388144515565e+00,1.457817863489101251e+00
7.155849933176750000e-01,8.127853881278538495e+01,4.027600962884753111e-02,7.724967768638658860e+00,2.888537026580182854e+00,4.419340569237025645e-02,3.484819845620383827e+00,1.506775017878597467e+00
7.330382858376184307e-01,8.082191780821916893e+01,4.010340587361502229e-02,8.000433434602630456e+00,2.965308198196772160e+00,4.400930017873671413e-02,3.625902685705058470e+00,1.560065177850672002e+00
7.504915783575616395e-01,8.036529680365296713e+01,3.993295556335406393e-02,8.283486394117717921e+00,3.042663774035780921e+00,4.381022434076578542e-02,3.782504843845514664e+00,1.618566696787753223e+00
7.679448708775049592e-01,7.990867579908675111e+01,3.976455482104736955e-02,8.573376937590900582e+00,3.120610438664224606e+00,4.359400578563256412e-02,3.957635274628906963e+00,1.683203316190311272e+00
7.853981633974482790e-01,7.945205479452054931e+01,3.959810485862098883e-02,8.870771084830577635e+00,3.199155388477423756e+00,4.336157164469899017e-02,4.152681547666483119e+00,1.754048873989698443e+00
8.028514559173914877e-01,7.899543378995433329e+01,3.943351148248807475e-02,9.176227719061550658e+00,3.278305829667583549e+00,4.311709284568653738e-02,4.365410982951940078e+00,1.830201797706857203e+00
8.203047484373349185e-01,7.853881278538811728e+01,3.927068464787346336e-02,9.488555405079504013e+00,3.358068578728328646e+00,4.286489317635176072e-02,4.594376281185714284e+00,1.910660020978228291e+00
8.377580409572781273e-01,7.808219178082191547e+01,3.910953832312132061e-02,9.809465927597708301e+00,3.438450180022451619e+00,4.260929642445125676e-02,4.836542729215623559e+00,1.994340547001933972e+00
