# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.658062789394613157e+00,5.662100456621003985e+01,3.376849262277550889e-02,1.224373778459444040e+01,4.682531260043676369e+00,2.499745199739370621e-02,5.863591097832871668e+01,8.292580591870786222e+00
1.675516081914556255e+00,5.616438356164383094e+01,3.364071644308473663e-02,1.265697091643329486e+01,4.739091765021581359e+00,2.457109895195521559e-02,5.769277816754543409e+01,8.445059143407871005e+00
1.692969374434499574e+00,5.570776255707762203e+01,3.351220279355547615e-02,1.308447081100101883e+01,4.796083888675301665e+00,2.414851834516156676e-02,5.675556946553384563e+01,8.593689528523896115e+00
1.710422666954442894e+00,5.525114155251141312e+01,3.338290343538126426e-02,1.353034240261634480e+01,4.853520809769238831e+00,2.371714543530468317e-02,5.578355311608401479e+01,8.742607814669669963e+00
1.727875959474386436e+00,5.479452054794520421e+01,3.325276877419958144e-02,1.399218948832425191e+01,4.911415991157562111e+00,2.326441548067645360e-02,5.475483588357845122e+01,8.895576594359850375e+00
1.745329251994329534e+00,5.433789954337899530e+01,3.312174784622834434e-02,1.447293162490733920e+01,4.969782725083994102e+00,2.277776373956878417e-02,5.364868679324665379e+01,9.055965688113255752e+00
1.762782544514272853e+00,5.388127853881277929e+01,3.298978807104861743e-02,1.497458580031680420e+01,5.028633842979450819e+00,2.224462547188703343e-02,5.241318589410589368e+01,9.226511785021479284e+00
1.780235837034215951e+00,5.342465753424657038e+01,3.285683503864951505e-02,1.549338708981885837e+01,5.087981084127461529e+00,2.165985894327655467e-02,5.108328296851374972e+01,9.406939420385933559e+00
1.797689129554159271e+00,5.296803652968036147e+01,3.272283250246500047e-02,1.603555389791111807e+01,5.147837511508216224e+00,2.104748051028525885e-02,4.973946129853023024e+01,9.588025141010634300e+00
1.815142422074102813e+00,5.251141552511415256e+01,3.258772235805165729e-02,1.659844706210168752e+01,5.208216421389020745e+00,2.043866496091613361e-02,4.843743377204602751e+01,9.759691194881598975e+00
1.832595714594046132e+00,5.205479452054794365e+01,3.245144432483329511e-02,1.718389343188394847e+01,5.269130910387833211e+00,1.986406886138186029e-02,4.725483434533733629e+01,9.913707351168815407e+00
1.850049007113989230e+00,5.159817351598173474e+01,3.231393570150987299e-02,1.779382455649686179e+01,5.330594090123709883e+00,1.933742704070015236e-02,4.618707676064953205e+01,1.004777518717553164e+01
1.867502299633932550e+00,5.114155251141552583e+01,3.217513135978897210e-02,1.842815081298013169e+01,5.392619006778848423e+00,1.885219454025839972e-02,4.522158917049028304e+01,1.016508400331778006e+01
1.884955592153875870e+00,5.068493150684930981e+01,3.203496366018802888e-02,1.908666887275045454e+01,5.455218665266898803e+00,1.840062966274873604e-02,4.433535193983296097e+01,1.026900867078551016e+01
1.902408884673818967e+00,5.022831050228310090e+01,3.189336197479089585e-02,1.976769852127924665e+01,5.518406023873232868e+00,1.797499071086334707e-02,4.351325591974371321e+01,1.036260630646707348e+01
1.919862177193762509e+00,4.977168949771689199e+01,3.175025251929933928e-02,2.047354193296627045e+01,5.582193998575105454e+00,1.756816572753317623e-02,4.271992652218843034e+01,1.044831637709982530e+01
1.937315469713705829e+00,4.931506849315068308e+01,3.160555834210950626e-02,2.119575039707482844e+01,5.646595466915681705e+00,1.717580984214248790e-02,4.197484867573764689e+01,1.052768408331182037e+01
1.954768762233649149e+00,4.885844748858447417e+01,3.145919894473442335e-02,2.194136794109800803e+01,5.711623273964446135e+00,1.679433797793625574e-02,4.126100498238147196e+01,1.060190642831458163e+01
1.972222054753592246e+00,4.840182648401826526e+01,3.131108980955099597e-02,2.271398647651012581e+01,5.777290239900267466e+00,1.642016507939954295e-02,4.056733583978645186e+01,1.067202592387112325e+01
1.989675347273535566e+00,4.794520547945204925e+01,3.116114236886966329e-02,2.351137118264616177e+01,5.843609169381652535e+00,1.604970609101739887e-02,3.988056501432913592e+01,1.073895450228593340e+01
2.007128639793478886e+00,4.748858447488584034e+01,3.100926369180730807e-02,2.433343096458337840e+01,5.910592862724042718e+00,1.567937595727489017e-02,3.920728194018138879e+01,1.080348526531703079e+01
2.024581932313422428e+00,4.703196347031963143e+01,3.085535577532074261e-02,2.517617472833426717e+01,5.978254128911808074e+00,1.530558962265707312e-02,3.853676800920118239e+01,1.086632209898721158e+01
