# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
4.014257279586957439e-01,8.954545454545454675e+01,3.538054635592471908e-02,1.934976059502585954e+01,2.351244633371448067e+00,4.704739170350720479e-02,4.707336002974669142e+00,5.607117967892201182e-01
4.188790204786390636e-01,8.909090909090909349e+01,3.480667687294262957e-02,2.008959873381876449e+01,2.448599489176964017e+00,4.688284814810472767e-02,4.906320377760954976e+00,5.842870992033504240e-01
4.363323129985823834e-01,8.863636363636364024e+01,3.424079734849626994e-02,2.082065628748038222e+01,2.545875652892213292e+00,4.671886050139198443e-02,5.104910897954273885e+00,6.078139644957141208e-01
4.537856055185257032e-01,8.818181818181817277e+01,3.368313454180144051e-02,2.154310144801716831e+01,2.643070037560712127e+00,4.655483063997676446e-02,5.303827876986415113e+00,6.313786482955880963e-01
4.712388980384689674e-01,8.772727272727271952e+01,3.313391995467447615e-02,2.225680395542299550e+01,2.740179532122546391e+00,4.639016461617423426e-02,5.503790425622053561e+00,6.550672506779287030e-01
4.886921905584122872e-01,8.727272727272726627e+01,3.259335097223936550e-02,2.296149288786791232e+01,2.837200318690803691e+00,4.622480638343461068e-02,5.704867029185515470e+00,6.788888107413787454e-01
5.061454830783556069e-01,8.681818181818181301e+01,3.206162232418287988e-02,2.365715991653364014e+01,2.934128914202862592e+00,4.605976261207796879e-02,5.905831616523205874e+00,7.026990047778678417e-01
5.235987755982988157e-01,8.636363636363635976e+01,3.153894075108023415e-02,2.434389340843902261e+01,3.030962394901345114e+00,4.589616462674245972e-02,6.105299558303140195e+00,7.263346603717768524e-01
5.410520681182421354e-01,8.590909090909090651e+01,3.102550840662068182e-02,2.502121449508810613e+01,3.127696098423354165e+00,4.573514375206619992e-02,6.301879206175955872e+00,7.496316474077334702e-01
5.585053606381854552e-01,8.545454545454545325e+01,3.052152327179847441e-02,2.568862185733288328e+01,3.224323687962864060e+00,4.557783131268730581e-02,6.494172238184252599e+00,7.724248638837284409e-01
5.759586531581287749e-01,8.500000000000000000e+01,3.002715486073616671e-02,2.634665398680782999e+01,3.320840986131084360e+00,4.542535863324394241e-02,6.680774165081299287e+00,7.945482470193502289e-01
5.934119456780720947e-01,8.454545454545454675e+01,2.954269658905840645e-02,2.699585959390451606e+01,3.417245925775769244e+00,4.527829875356095130e-02,6.860959490569181085e+00,8.159159945143099613e-01
6.108652381980153034e-01,8.409090909090909349e+01,2.906836542386396355e-02,2.763601654576902078e+01,3.513536695096207474e+00,4.513496042713533579e-02,7.036779790157968506e+00,8.367715514322113801e-01
6.283185307179586232e-01,8.363636363636364024e+01,2.860426707752783057e-02,2.826582076987163816e+01,3.609708425141797239e+00,4.499307844081339852e-02,7.211001677220718165e+00,8.574433868538418047e-01
6.457718232379019430e-01,8.318181818181817277e+01,2.815069755239817464e-02,2.888408424441370315e+01,3.705753965015296636e+00,4.485038758138576442e-02,7.386403970384673556e+00,8.782617592149259966e-01
6.632251157578451517e-01,8.272727272727271952e+01,2.770783219508752421e-02,2.949215335197862586e+01,3.801672212300711617e+00,4.470462263564307231e-02,7.565777409412195453e+00,8.995587748550690765e-01
6.806784082777884715e-01,8.227272727272726627e+01,2.727587629096720964e-02,3.008922642233295619e+01,3.897460825747474988e+00,4.455351839037597489e-02,7.751924963562481175e+00,9.216685379844815618e-01
6.981317007977317912e-01,8.181818181818181301e+01,2.685501694386558877e-02,3.067305219460338961e+01,3.993111973656188862e+00,4.439480963237502770e-02,7.947662426331960184e+00,9.449273629638482719e-01
7.155849933176750000e-01,8.136363636363635976e+01,2.644554643006178513e-02,3.124477140011235576e+01,4.088622765806347203e+00,4.422623114843094588e-02,8.155819409592350411e+00,9.696740754798363060e-01
7.330382858376184307e-01,8.090909090909090651e+01,2.604752400583134828e-02,3.180540479481266303e+01,4.183991606661324525e+00,4.404551772533431275e-02,8.379240831839648962e+00,9.962504271129999367e-01
7.504915783575616395e-01,8.045454545454545325e+01,2.566126662680160223e-02,3.235523659943817876e+01,4.279214155709739842e+00,4.385040414987573937e-02,8.620789360436226900e+00,1.025001662343965503e+00
7.679448708775049592e-01,8.000000000000000000e+01,2.528701638586472802e-02,3.289480661871007072e+01,4.374284066422482908e+00,4.363865010072871808e-02,8.883317134811607119e+00,1.056273518817251178e+00
7.853981633974482790e-01,7.954545454545454675e+01,2.492491871459874900e-02,3.342640238941275044e+01,4.469197825753105313e+00,4.341021886819889514e-02,9.166960413780968153e+00,1.090090024009413794e+00
8.028514559173914877e-01,7.909090909090909349e+01,2.457514642108206068e-02,3.395282672649393163e+01,4.563955732658514286e+00,4.316897580434139042e-02,9.467003361504902514e+00,1.125897476132174724e+00
8.203047484373349185e-01,7.863636363636364024e+01,2.423790149317080547e-02,3.447659536291765647e+01,4.658560662262228647e+00,4.291918601441424563e-02,9.778200260209045425e+00,1.163078167113931416e+00
8.377580409572781273e-01,7.818181818181817277e+01,2.391340198555750446e-02,3.499996521849497100e+01,4.753017292708592301e+00,4.266511460367548164e-02,1.009526884534728808e+01,1.201008187062635013e+00
8.552113334772214470e-01,7.772727272727271952e+01,2.360188868390668618e-02,3.552574751324149815e+01,4.847333418932588955e+00,4.241102667738317483e-02,1.041288671836963964e+01,1.239056570480213670e+00
8.726646259971647668e-01,7.727272727272726627e+01,2.330326608181099851e-02,3.605604100570719339e+01,4.941517739043180590e+00,4.216118734079535302e-02,1.072569254653298820e+01,1.276584645859095923e+00
8.901179185171079755e-01,7.681818181818181301e+01,2.301647303396133631e-02,3.659232167754468890e+01,5.035578067765764665e+00,4.191986169917002319e-02,1.102829195640323157e+01,1.312945693056234209e+00
9.075712110370514063e-01,7.636363636363635976e+01,2.274052818529425507e-02,3.713583699171004326e+01,5.129521090795286398e+00,4.169131485776524787e-02,1.131526406957384800e+01,1.347485054022827144e+00
9.250245035569946150e-01,7.590909090909090651e+01,2.247456329275605846e-02,3.768674747751470022e+01,5.223352543498072542e+00,4.147972639789908322e-02,1.158127369214443014e+01,1.379553520989210913e+00
9.424777960769379348e-01,7.545454545454545325e+01,2.221780633621027803e-02,3.824586743085161089e+01,5.317080108808514893e+00,4.128464590144775848e-02,1.182680075931598651e+01,1.409199972480502661e+00
9.599310885968812546e-01,7.500000000000000000e+01,2.196956798743860545e-02,3.881342637653222027e+01,5.410711934918943200e+00,4.109872082387536901e-02,1.206103725599878373e+01,1.437527813071249660e+00
9.773843811168245743e-01,7.454545454545454675e+01,2.172923027419723999e-02,3.938942963932220920e+01,5.504256035154778459e+00,4.091403583837361496e-02,1.229392617251833286e+01,1.465738252342791315e+00
9.948376736367677831e-01,7.409090909090909349e+01,2.149623702908907627e-02,3.997427525740527443e+01,5.597720006137656412e+00,4.072267561813421033e-02,1.253544772867042134e+01,1.495044856301441349e+00
1.012290966156711214e+00,7.363636363636364024e+01,2.127008584130096747e-02,4.056811461388841877e+01,5.691109589885726017e+00,4.051672483634879279e-02,1.279561827610084812e+01,1.526674609542586492e+00
