# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
7.155849933176750000e-01,8.136363636363635976e+01,2.959663756890534847e-02,3.146235919269925674e+01,3.776292080007996432e+00,4.422623114843094588e-02,8.286550517031205487e+00,1.116299121960123264e+00
7.330382858376184307e-01,8.090909090909090651e+01,2.913412502176837560e-02,3.225161664291383090e+01,3.869728596487358008e+00,4.404551772533431275e-02,8.537991413288255060e+00,1.147192036277508320e+00
7.504915783575616395e-01,8.045454545454545325e+01,2.867621668522401385e-02,3.303362854021904838e+01,3.963188907462928512e+00,4.385040414987573937e-02,8.810753054073916957e+00,1.180571234031383643e+00
7.679448708775049592e-01,8.000000000000000000e+01,2.822309844204966278e-02,3.380822016785901951e+01,4.056663492266317839e+00,4.363865010072871808e-02,9.108279788937904797e+00,1.216827751357246301e+00
7.853981633974482790e-01,7.954545454545454675e+01,2.777494248333611804e-02,3.457424890530503347e+01,4.150141033205452246e+00,4.341021886819889514e-02,9.430980554252220927e+00,1.255977265355193939e+00
8.028514559173914877e-01,7.909090909090909349e+01,2.733190997145822088e-02,3.533154644460296367e+01,4.243614417330940469e+00,4.316897580434139042e-02,9.773721468522614586e+00,1.297366622613082443e+00
8.203047484373349185e-01,7.863636363636364024e+01,2.689423460113089456e-02,3.607775783793324820e+01,4.337075926286868111e+00,4.291918601441424563e-02,1.013068072078080561e+01,1.340272086001190965e+00
8.377580409572781273e-01,7.818181818181817277e+01,2.646204752103985952e-02,3.680984273787159111e+01,4.430510712842344212e+00,4.266511460367548164e-02,1.049589777250191602e+01,1.383967201058935004e+00
8.552113334772214470e-01,7.772727272727271952e+01,2.603556083059704179e-02,3.753604637599123350e+01,4.523909925802221288e+00,4.241102667738317483e-02,1.086326816395526151e+01,1.427722220330176262e+00
8.726646259971647668e-01,7.727272727272726627e+01,2.561495303938335355e-02,3.826614123317963134e+01,4.617269959077092700e+00,4.216118734079535302e-02,1.122654560554049930e+01,1.470803704751435514e+00
8.901179185171079755e-01,7.681818181818181301e+01,2.520039700198897781e-02,3.900825283900469032e+01,4.710589627906809795e+00,4.191986169917002319e-02,1.157934868297667563e+01,1.512474107789987698e+00
9.075712110370514063e-01,7.636363636363635976e+01,2.479207071025764028e-02,3.976831861404541968e+01,4.803867959164832335e+00,4.169131485776524787e-02,1.191517311740496510e+01,1.551991562086546761e+00
9.250245035569946150e-01,7.590909090909090651e+01,2.439014909212944976e-02,4.055084648239528633e+01,4.897101786902156917e+00,4.147972639789908322e-02,1.222753702254795094e+01,1.588624880353729063e+00
9.424777960769379348e-01,7.545454545454545325e+01,2.399480020128943319e-02,4.135823309373970602e+01,4.990290859307596527e+00,4.128464590144775848e-02,1.251675753827482573e+01,1.622442342774210067e+00
9.599310885968812546e-01,7.500000000000000000e+01,2.360624430579149127e-02,4.219008167147924127e+01,5.083435739553177513e+00,4.109872082387536901e-02,1.279348770909742328e+01,1.654711486456256209e+00
9.773843811168245743e-01,7.454545454545454675e+01,2.322463354022362078e-02,4.304695859210099940e+01,5.176536219152416685e+00,4.091403583837361496e-02,1.306940720856200144e+01,1.686803857847336108e+00
9.948376736367677831e-01,7.409090909090909349e+01,2.285015929595874198e-02,4.393184182777572033e+01,5.269592475753411165e+00,4.072267561813421033e-02,1.335637563532394800e+01,1.720097623814160759e+00
1.012290966156711214e+00,7.363636363636364024e+01,2.248298019308834009e-02,4.484658063890221058e+01,5.362604060760737035e+00,4.051672483634879279e-02,1.366643372001623469e+01,1.755978262143387258e+00
1.029744258676654312e+00,7.318181818181817277e+01,2.212331213374743241e-02,4.579026009293448141e+01,5.455567243666182620e+00,4.028826816620913881e-02,1.401182218449004502e+01,1.795840080193119803e+00
1.047197551196597631e+00,7.272727272727271952e+01,2.177131783932059056e-02,4.676696595173889648e+01,5.548481635546366419e+00,4.002939028090691381e-02,1.440501638006147189e+01,1.841088717132774555e+00
1.064650843716540951e+00,7.227272727272726627e+01,2.142716981744163807e-02,4.778328890842249166e+01,5.641347187517803619e+00,3.973217585363381793e-02,1.485877446491279841e+01,1.893144838950001185e+00
1.082104136236484271e+00,7.181818181818181301e+01,2.109104938933995324e-02,4.883874077220271204e+01,5.734163503654968075e+00,3.939095168534852837e-02,1.538274381067382990e+01,1.953055227582082720e+00
1.099557428756427591e+00,7.136363636363635976e+01,2.076314131484645331e-02,4.991799609902183477e+01,5.826930235161073668e+00,3.901370569657572340e-02,1.596570640753090231e+01,2.019479845197113210e+00
1.117010721276370910e+00,7.090909090909090651e+01,2.044363051051790656e-02,5.100520149691787708e+01,5.919646934086437717e+00,3.861357067596993958e-02,1.658816608636352541e+01,2.090162818182832005e+00
1.134464013796314230e+00,7.045454545454545325e+01,2.013269942510655802e-02,5.208777974701019531e+01,6.012313112156598471e+00,3.820368878449507261e-02,1.723008207476033959e+01,2.162823116589965622e+00
1.151917306316257550e+00,7.000000000000000000e+01,1.983052441502091909e-02,5.315889268459853412e+01,6.104928233755203770e+00,3.779720218311492103e-02,1.787085882085401067e+01,2.235149701446076165e+00
1.169370598836200648e+00,6.954545454545454675e+01,1.953727360352893599e-02,5.422000212562778643e+01,6.197491722264673264e+00,3.740725303279332503e-02,1.848937009067223158e+01,2.304796929645840819e+00
1.186823891356144189e+00,6.909090909090909349e+01,1.925311281871752017e-02,5.527170052051067017e+01,6.290002975716162403e+00,3.704608665053916311e-02,1.906545824894885754e+01,2.369543777412602470e+00
1.204277183876087287e+00,6.863636363636364024e+01,1.897824538874124528e-02,5.631245648019129391e+01,6.382461350059206673e+00,3.671218446792901685e-02,1.960074304155045155e+01,2.429617265412847615e+00
1.221730476396030607e+00,6.818181818181817277e+01,1.871289101669575128e-02,5.734075149177133568e+01,6.474865779041219405e+00,3.639325347556213175e-02,2.011437071330309223e+01,2.487197008922194197e+00
1.239183768915973927e+00,6.772727272727271952e+01,1.845719225776127487e-02,5.835560584456590760e+01,6.567214729516661187e+00,3.607671296982619541e-02,2.062634918368239667e+01,2.544545226401925486e+00
1.256637061435917246e+00,6.727272727272726627e+01,1.821104972806129180e-02,5.935690204999814767e+01,6.659507622544080796e+00,3.574998224710876360e-02,2.115703373948908705e+01,2.603956062728048693e+00
