X,Y
1.66E+01,-4.14E+00
1.69E+01,-3.89E+00
1.71E+01,-3.64E+00
1.74E+01,-3.38E+00
1.77E+01,-3.11E+00
1.79E+01,-2.84E+00
1.82E+01,-2.56E+00
1.85E+01,-2.27E+00
1.88E+01,-1.98E+00
1.91E+01,-1.68E+00
1.95E+01,-1.36E+00
1.98E+01,-1.04E+00
2.02E+01,-7.04E-01
2.05E+01,-3.58E-01
2.08E+01,-5.10E-15
