# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
2.373647782712288379e+00,3.818181818181817988e+01,2.133035102783197023e-02,5.992072125838198104e+01,1.278788868252560285e+01,7.099240956586151154e-03,6.535323650629285908e+01,1.844431368540650951e+01
2.391101075232231477e+00,3.772727272727272663e+01,2.109737434010881818e-02,6.114517193099103309e+01,1.287358195081240808e+01,6.760903502500495606e-03,6.247405189151613314e+01,1.854310977623309498e+01
2.408554367752174574e+00,3.727272727272727337e+01,2.086360798979991840e-02,6.239770771464306875e+01,1.295996586150074137e+01,6.468960748735472222e-03,6.003154075874260087e+01,1.862583259598770979e+01
2.426007660272118116e+00,3.681818181818182012e+01,2.062906450500779157e-02,6.367843650825272306e+01,1.304707838814910481e+01,6.216019501585281701e-03,5.793590529986735049e+01,1.869564542971598442e+01
2.443460952792061214e+00,3.636363636363635976e+01,2.039375632059006391e-02,6.498973728085736923e+01,1.313495892413571475e+01,5.992106525928567705e-03,5.610478840361298580e+01,1.875603494294023577e+01
2.460914245312004311e+00,3.590909090909090651e+01,2.015769587228881041e-02,6.633293998121366997e+01,1.322364838824766053e+01,5.787248586643974763e-03,5.445338305996695283e+01,1.881014825344650987e+01
2.478367537831947853e+00,3.545454545454545325e+01,1.992089647114550152e-02,6.770979196034966208e+01,1.331318933892536904e+01,5.591472448610131790e-03,5.289509875403428651e+01,1.886086497570579823e+01
2.495820830351891395e+00,3.500000000000000000e+01,1.968337712491582264e-02,6.912215588946668277e+01,1.340362609894074986e+01,5.394804876705677245e-03,5.135041292673036395e+01,1.891084774490659726e+01
2.513274122871834493e+00,3.454545454545454675e+01,1.944515010645094313e-02,7.057197345142945721e+01,1.349500489006004500e+01,5.187272635809248716e-03,4.974164741590438155e+01,1.896255913134413262e+01
2.530727415391777591e+00,3.409090909090908639e+01,1.920622793902531864e-02,7.206134711022339445e+01,1.358737397679690773e+01,4.959343805451385881e-03,4.799723133474670789e+01,1.901814705065869049e+01
2.548180707911721132e+00,3.363636363636363313e+01,1.896662294303655058e-02,7.359252246026628086e+01,1.368078382493966849e+01,4.709253128976832736e-03,4.611565753655812472e+01,1.907771488322248743e+01
2.565634000431664674e+00,3.318181818181817988e+01,1.872634747882178860e-02,7.516790379888972495e+01,1.377528726779886270e+01,4.441871245076554550e-03,4.414513437440167820e+01,1.913978826346561135e+01
2.583087292951607772e+00,3.272727272727272663e+01,1.848541388573902641e-02,7.679008227063370384e+01,1.387093970024153933e+01,4.162282196745344630e-03,4.212964795297165921e+01,1.920295342161833574e+01
2.600540585471550870e+00,3.227272727272727337e+01,1.824383452011876794e-02,7.846183413243166171e+01,1.396779927108875796e+01,3.875570026977995415e-03,4.011180205601780813e+01,1.926592314327706390e+01
2.617993877991494411e+00,3.181818181818181657e+01,1.800162177039311973e-02,8.018614103375895752e+01,1.406592709420484155e+01,3.586818778769313223e-03,3.812989473791859041e+01,1.932753922808290525e+01
2.635447170511437509e+00,3.136363636363636331e+01,1.775878805674318064e-02,8.196435251323251236e+01,1.416538523941405003e+01,3.300989823940279119e-03,3.622300425995458539e+01,1.938680231886642957e+01
2.652900463031380607e+00,3.090909090909090651e+01,1.751534590091721744e-02,8.376902801907050389e+01,1.426620237331409946e+01,3.021975118114270629e-03,3.443524812810406388e+01,1.944307388068852660e+01
2.670353755551324149e+00,3.045454545454545325e+01,1.727130780142125538e-02,8.550114512693382096e+01,1.436829028311973921e+01,2.753115250286608702e-03,3.279301117951899869e+01,1.949591780412624331e+01
2.687807048071267690e+00,3.000000000000000000e+01,1.702668885900666604e-02,8.714895148279344994e+01,1.447155103232934970e+01,2.497746230842015983e-03,3.130189359486992018e+01,1.954493674308462303e+01
2.705260340591210788e+00,2.954545454545454319e+01,1.678150589140741528e-02,8.871385137246505792e+01,1.457589263949892100e+01,2.259204070165194735e-03,2.996414347898148023e+01,1.958975418226299325e+01
2.722713633111153886e+00,2.909090909090908994e+01,1.653577122759932252e-02,9.019469543450115623e+01,1.468122584283588772e+01,2.040824778640853293e-03,2.878307024277678039e+01,1.963000580502311010e+01
2.740166925631096984e+00,2.863636363636363669e+01,1.628949746715716712e-02,9.158731304591537992e+01,1.478746045429439349e+01,1.845846827543248499e-03,2.776168668718958088e+01,1.966534717250081954e+01
2.757620218151040525e+00,2.818181818181817988e+01,1.604269718572814626e-02,9.288240078463863370e+01,1.489449943459515779e+01,1.675194517320581413e-03,2.688999935181216827e+01,1.969583755722294427e+01
2.775073510670984067e+00,2.772727272727272663e+01,1.579538306814063514e-02,9.407772502487323152e+01,1.500224705692176563e+01,1.527437963706245860e-03,2.615514674561119079e+01,1.972191690030576794e+01
2.792526803190927165e+00,2.727272727272727337e+01,1.554756786387293671e-02,9.517038470544162010e+01,1.511060799249091779e+01,1.401041739808169375e-03,2.554554177750745225e+01,1.974399807391098349e+01
2.809980095710870263e+00,2.681818181818181657e+01,1.529926439713923635e-02,9.615820859517039310e+01,1.521948798650368850e+01,1.294470418734251305e-03,2.504535925734175450e+01,1.976245710255538768e+01
2.827433388230813804e+00,2.636363636363636331e+01,1.505048555645548819e-02,9.704191122970952676e+01,1.532879691294860081e+01,1.206188573592431980e-03,2.464026920033546020e+01,1.977764088101135442e+01
2.844886680750756902e+00,2.590909090909090651e+01,1.480124428561823031e-02,9.781970249576492904e+01,1.543844572241681945e+01,1.134660777490611614e-03,2.431840892574702906e+01,1.978987315507110623e+01
2.862339973270700000e+00,2.545454545454545325e+01,1.455155356962638778e-02,9.848554888554394893e+01,1.554834155063923795e+01,1.078351603536730104e-03,2.406926400388859832e+01,1.979945948137349632e+01
2.879793265790643542e+00,2.500000000000000000e+01,1.430142641702756082e-02,9.903385317324764969e+01,1.565838811871703129e+01,1.035679981061287834e-03,2.388305390671963835e+01,1.980669897942259183e+01
2.897246558310587083e+00,2.454545454545454319e+01,1.405087583818921855e-02,9.946215328202171690e+01,1.576848906522612914e+01,1.004826027806969731e-03,2.374985184674575578e+01,1.981192018389190679e+01
2.914699850830530625e+00,2.409090909090908994e+01,1.379991481894447987e-02,9.976899742505496249e+01,1.587854884221822971e+01,9.838920199240490556e-04,2.366017640800054878e+01,1.981545636648505493e+01
2.932153143350473723e+00,2.363636363636363669e+01,1.354855629142274857e-02,9.995315411025580943e+01,1.598847271523277058e+01,9.709801908509522062e-04,2.360515032349267273e+01,1.981763489632296427e+01
2.949606435870416821e+00,2.318181818181817988e+01,1.329681309496506293e-02,1.000136185241557456e+02,1.609816676329693053e+01,9.641927740261197833e-04,2.357631199683872580e+01,1.981877931788879721e+01
2.967059728390360362e+00,2.272727272727272663e+01,1.304469795166349894e-02,9.994962248680357675e+01,1.620753787892562769e+01,9.616320028879852318e-04,2.356544751156146944e+01,1.981921094906813607e+01
2.984513020910303460e+00,2.227272727272727337e+01,1.279222337495617562e-02,9.976008369894454120e+01,1.631649316087389678e+01,9.614001108749620477e-04,2.356446409742166281e+01,1.981925003191478041e+01
3.001966313430246558e+00,2.181818181818181657e+01,1.253940176254287990e-02,9.944251550540214168e+01,1.642493812723768087e+01,9.615993314255106726e-04,2.356530895323412622e+01,1.981921645552122868e+01
3.019419605950190100e+00,2.136363636363636331e+01,1.228624499576820052e-02,9.899647821451456764e+01,1.653277867657138600e+01,9.603318979780442769e-04,2.355993490249799649e+01,1.981943005940693681e+01
3.036872898470133197e+00,2.090909090909091006e+01,1.203276617553178905e-02,9.842239460955509855e+01,1.663992172997914309e+01,9.557000439709968480e-04,2.354031331563663443e+01,1.982021051989468319e+01
3.054326190990076295e+00,2.045454545454545325e+01,1.177898567230358656e-02,9.772096823398004517e+01,1.674627523110902061e+01,9.458060028428015055e-04,2.349849453958061929e+01,1.982187682084538594e+01
3.071779483510019837e+00,2.000000000000000000e+01,1.152491618691195256e-02,9.689160953517718156e+01,1.685174643979121356e+01,9.287520080318922367e-04,2.342671673352692707e+01,1.982474631386536501e+01
3.089232776029963379e+00,1.954545454545454319e+01,1.127056874257075132e-02,9.592798752910923099e+01,1.695623541221769770e+01,9.027055300635075837e-04,2.331783708845781788e+01,1.982912243083455195e+01
3.106686068549906921e+00,1.909090909090908994e+01,1.101595500812410297e-02,9.482816343220984834e+01,1.705963945280872451e+01,8.678693653170703850e-04,2.317363683638465588e+01,1.983496321304540544e+01
3.124139361069850018e+00,1.863636363636363669e+01,1.076108414530715408e-02,9.361510419663557059e+01,1.716187980230168719e+01,8.268323327611877462e-04,2.300588011779761288e+01,1.984182602089086345e+01
3.141592653589793116e+00,1.818181818181817988e+01,1.050596768713306026e-02,9.228670127516205923e+01,1.726287405520797336e+01,7.823191839262538545e-04,2.282652964932256268e+01,1.984924877580276714e+01
3.159045946109736214e+00,1.772727272727272663e+01,1.025062602719321349e-02,9.081224090945077876e+01,1.736250464568101393e+01,7.370546703426831712e-04,2.264698173315566976e+01,1.985677423321438795e+01
3.176499238629679756e+00,1.727272727272727337e+01,9.995074483517921507e-03,8.921892408515397221e+01,1.746068166919861753e+01,6.937635435408830023e-04,2.247793844525024198e+01,1.986395049960571058e+01
3.193952531149622853e+00,1.681818181818181657e+01,9.739320727721689427e-03,8.751046662214776006e+01,1.755731690355504782e+01,6.551705550512675925e-04,2.232943247522538144e+01,1.987033072607611217e+01
3.211405823669565951e+00,1.636363636363636331e+01,9.483374571384933435e-03,8.568628143814981968e+01,1.765231873668560070e+01,6.240004564042447898e-04,2.221098874381935318e+01,1.987547202617904674e+01
3.228859116189509493e+00,1.590909090909090828e+01,9.227253432177525902e-03,8.375205662363390502e+01,1.774559873012905697e+01,6.025116253317784566e-04,2.213010905808906159e+01,1.987901038221496819e+01
3.246312408709452590e+00,1.545454545454545325e+01,8.970972921830876190e-03,8.170516911861510323e+01,1.783706205408533307e+01,5.901474436687709517e-04,2.208385874748995548e+01,1.988104403166738976e+01
3.263765701229396576e+00,1.500000000000000000e+01,8.714542455705654236e-03,7.952873180488026605e+01,1.792659104466989106e+01,5.853003751088882564e-04,2.206578434879863337e+01,1.988184082800952979e+01
3.281218993749339674e+00,1.454545454545454497e+01,8.457971526344112284e-03,7.727478953524708061e+01,1.801412206386111947e+01,5.863610781382393470e-04,2.206973690454308823e+01,1.988166648334385656e+01
3.298672286269282772e+00,1.409090909090908994e+01,8.201278656637601278e-03,7.499802686137176977e+01,1.809964927052438810e+01,5.917202112429595460e-04,2.208973037402790141e+01,1.988078543487650052e+01
3.316125578789226314e+00,1.363636363636363669e+01,7.944479104841936298e-03,7.271435807918209093e+01,1.818318149776989401e+01,5.997684329091645516e-04,2.211982967387210763e+01,1.987946172100070896e+01
